Code,Name,Date,Open,High,Low,Close,Volumn,Amount,Change,Turnover,PE,PB,Average,AmountPercentage,HQLTSZ,AHQLTSZ,Payout,IR
801813,小盘指数,2016-7-22,5743.38,5756.61,5694.45,5698.33,107.34,1569.89,-0.81,1.9451,54.53,3.66,19.79,29.1,67218.09,84.02,0.49,4.9
801813,小盘指数,2016-7-21,5736.13,5784.48,5719.37,5744.78,107.76,1586.21,0.05,1.9528,54.96,3.68,19.95,28.51,67763.68,84.7,0.48,4.9
801813,小盘指数,2016-7-20,5753.35,5774.84,5731.5,5741.97,99.71,1488.76,-0.16,1.8069,54.92,3.68,19.97,29.49,67706.2,84.63,0.48,4.9
801813,小盘指数,2016-7-19,5715.77,5751.66,5682.11,5751.43,104.33,1507.46,0.55,1.8908,55.01,3.69,19.97,29.2,67803.06,84.75,0.48,4.9
801813,小盘指数,2016-7-18,5733.43,5753.21,5684.24,5719.78,110.19,1594.06,-0.47,1.9986,54.7,3.67,19.85,28.6,67411.42,84.26,0.48,4.9
801813,小盘指数,2016-7-15,5774.98,5781.04,5723.96,5746.71,118.24,1713.24,-0.5,2.1455,54.93,3.68,19.98,30.18,67705.32,84.63,0.48,4.9
801813,小盘指数,2016-7-14,5758.36,5778.19,5735.06,5775.82,121.4,1775.48,0.17,2.2053,55.18,3.68,20.15,30.22,67995.99,84.99,0.46,4.9
801813,小盘指数,2016-7-13,5733.71,5776.98,5713.2,5766.09,145.29,2034.42,0.78,2.6392,55.07,3.68,20.1,27.92,67889.98,84.86,0.46,4.9
801813,小盘指数,2016-7-12,5655.35,5721.89,5581.59,5721.74,147.22,2082.64,1.03,2.6744,54.64,3.65,19.96,28.37,67393.88,84.24,0.46,4.9
801813,小盘指数,2016-7-11,5698.02,5727.54,5656.91,5663.22,138.51,2099.06,-0.41,2.5176,54.09,3.62,19.8,30.02,66631.85,83.29,0.47,4.9
801813,小盘指数,2016-7-8,5690.31,5722.52,5665.15,5686.63,120.66,1794.77,-0.25,2.1947,54.32,3.63,20.04,30.43,66827.28,83.53,0.49,4.9
801813,小盘指数,2016-7-7,5688.06,5723.2,5642.88,5701.05,151.96,2275.15,0.15,2.7648,54.41,3.64,20.12,31.04,67035.36,83.79,0.47,4.9
801813,小盘指数,2016-7-6,5647.7,5696.91,5633.11,5692.73,131.83,1925.07,0.49,2.3986,54.34,3.64,20.1,29.03,66948.54,83.69,0.47,4.9
801813,小盘指数,2016-7-5,5650.54,5672.53,5624.17,5664.88,144.65,2105.46,0.39,2.6323,54.08,3.62,19.98,29.76,66551.2,83.19,0.48,4.9
801813,小盘指数,2016-7-1,5549.81,5574.57,5516.7,5533.54,104.53,1579.6,-0.19,1.9048,52.77,3.53,19.56,30.38,64834.42,81.04,0.49,4.9
801813,小盘指数,2016-6-30,5559.02,5570.05,5515.7,5543.9,110.65,1606.71,-0.14,1.9708,53.03,3.49,18.14,27.95,64411.24,80.51,0.52,4.9
801813,小盘指数,2016-6-29,5559.58,5572.19,5528.29,5551.58,129.23,1849.49,0.2,2.3093,53.08,3.49,18.2,28.73,64458.23,80.57,0.52,4.9
801813,小盘指数,2016-6-28,5468.12,5543.97,5461.17,5540.43,129.35,1929.42,0.88,2.3126,52.98,3.48,18.19,29.04,64268.76,80.34,0.52,4.9
801813,小盘指数,2016-6-27,5320.81,5492.16,5320.81,5492.13,117.66,1739.99,2.46,2.1058,52.45,3.45,17.99,29.87,63647.57,79.56,0.51,4.9
801813,小盘指数,2016-6-24,5401.65,5443.11,5204.23,5360.14,139.24,1963.03,-1,2.4972,51.21,3.37,17.55,30.38,62147.34,77.68,0.53,4.9
801813,小盘指数,2016-6-23,5433.21,5449.9,5371.87,5414.23,114.54,1683.09,-0.43,2.0621,51.7,3.4,17.77,32.17,62703.88,78.38,0.52,4.9
801813,小盘指数,2016-6-22,5326.28,5437.62,5323.85,5437.37,100.37,1461.61,1.78,1.8074,51.84,3.42,17.86,30.1,63023.63,78.78,0.51,4.9
801813,小盘指数,2016-6-21,5441.98,5468.81,5315.5,5342.42,120.18,1749.12,-1.28,2.1651,50.93,3.36,17.55,29.53,61962.09,77.45,0.5,4.9
801813,小盘指数,2016-6-20,5385.06,5422.62,5334.53,5411.49,105.9,1549.23,0.51,1.91,51.52,3.4,17.8,31,62634.76,78.29,0.49,4.9
801813,小盘指数,2016-6-17,5358.22,5420.68,5340.52,5384.04,125.82,1780.62,0.66,2.2758,51.32,3.38,17.74,31.23,62417.85,78.02,0.52,4.9
801813,小盘指数,2016-6-16,5344.39,5391.74,5328.86,5348.98,128.3,1948.62,-0.01,2.3282,50.97,3.35,17.78,32.83,62044.55,77.56,0.51,4.9
801813,小盘指数,2016-6-15,5114.58,5366.26,5108.06,5349.61,119.13,1752.93,3.41,2.1624,50.97,3.35,17.82,30.61,62047,77.56,0.51,4.9
801813,小盘指数,2016-6-14,5125.57,5183.16,5111.97,5173.26,85.06,1235.11,0.44,1.5467,49.27,3.24,17.21,29.96,60028.65,75.04,0.52,4.9
801813,小盘指数,2016-6-13,5330.57,5383.56,5150.34,5150.46,122.09,1806.14,-4.7,2.2262,49.03,3.24,17.16,30.69,59666.09,74.58,0.52,4.9
801813,小盘指数,2016-6-8,5407.21,5436.6,5352.89,5404.72,103.62,1575.36,-0.25,1.8902,51.45,3.4,18.11,28.88,62573.02,78.22,0.54,4.9
801813,小盘指数,2016-6-7,5413.74,5421.61,5377.99,5418.02,100.55,1471.01,0.07,1.8369,51.54,3.41,18.24,28.91,62754.87,78.44,0.51,4.9
801813,小盘指数,2016-6-6,5415.31,5429.01,5376.16,5414.23,106.37,1573.11,0.33,1.9472,51.51,3.4,18.18,29.82,62701.51,78.38,0.5,4.9
801813,小盘指数,2016-6-1,5295.93,5365.57,5294.32,5328.35,133.59,1956.43,0.76,2.4493,50.54,3.33,17.96,29.94,61762.17,77.2,0.5,4.9
801813,小盘指数,2016-5-31,5080.62,5288.24,5079.59,5288.24,129.46,1762.4,4.25,2.3745,50.17,3.31,17.79,27.96,61302.93,76.63,0.5,4.9
801813,小盘指数,2016-5-30,5069.57,5123.69,5021.72,5072.55,71.24,987.72,-0.6,1.3143,48.06,3.17,17.14,29.64,58746.19,73.43,0.51,4.9
801813,小盘指数,2016-5-27,5093.02,5143.45,5078.17,5103.06,84.1,1196.12,-0.1,1.5517,48.4,3.21,17.3,31.63,59162.89,73.95,0.54,4.9
801813,小盘指数,2016-5-26,5065.46,5108.69,4966.47,5108.36,88.28,1230.86,0.6,1.6383,48.41,3.21,17.4,31.47,59077.23,73.85,0.54,4.9
801813,小盘指数,2016-5-25,5132.19,5157.03,5052.58,5077.67,77.87,1137.36,-0.39,1.4475,48.14,3.19,17.34,30.64,58779.84,73.47,0.54,4.9
801813,小盘指数,2016-5-24,5150.3,5150.3,5060.52,5097.39,80.45,1145.28,-1.26,1.4964,48.33,3.2,17.39,30.86,59013.65,73.77,0.53,4.9
801813,小盘指数,2016-5-23,5093.95,5162.65,5093.57,5162.42,90.41,1316.41,1.63,1.6845,48.97,3.24,17.77,31.43,59709.35,74.64,0.52,4.9
801813,小盘指数,2016-5-20,4975.17,5079.72,4957.02,5079.72,81.75,1191.09,1.18,1.5252,48.16,3.19,17.5,32.59,58720.01,73.4,0.54,4.9
801813,小盘指数,2016-5-19,4979.88,5082,4979.58,5020.49,82.43,1199.37,0.71,1.5418,47.54,3.15,17.32,31.96,58023.54,72.53,0.53,4.9
801813,小盘指数,2016-5-18,5088.34,5088.68,4920.95,4984.96,92.9,1271.36,-2.94,1.7449,47.26,3.13,17.24,30.57,57674.57,72.09,0.52,4.9
801813,小盘指数,2016-5-17,5146.53,5192.02,5108.94,5136.02,96.37,1426.52,-0.14,1.8099,48.63,3.22,17.79,33.13,59413.32,74.27,0.5,4.9
801813,小盘指数,2016-5-16,5030.33,5143.55,5004.39,5143.08,81.95,1166.11,1.85,1.5407,48.69,3.22,17.85,32.25,59467.11,74.33,0.49,4.9
